status,category,page,locale,node,text,source,href
extracted,contact,/condizioni-di-utilizzo,it,dom:body:nth-of-type(1)>footer:nth-of-type(1)>section:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(8)>address:nth-of-type(1)>a:nth-of-type(1),Numero verde: 800 174 206,raw/published/html/6a97db25519800ebff25b9f2.html,
extracted,contact,/condizioni-di-utilizzo,it,dom:body:nth-of-type(1)>div:nth-of-type(5)>div:nth-of-type(1)>a:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1),Avvia chat su WhatsApp,raw/published/html/6a97db25519800ebff25b9f2.html,
extracted,contact-or-sedation-link,/condizioni-di-utilizzo,it,dom:body:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>nav:nth-of-type(1)>div:nth-of-type(2)>div:nth-of-type(1)>nav:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>a:nth-of-type(5), Sedazione cosciente,raw/published/html/6a97db25519800ebff25b9f2.html,/prestazioni/sedazione-cosciente
extracted,contact-or-sedation-link,/condizioni-di-utilizzo,it,dom:body:nth-of-type(1)>footer:nth-of-type(1)>section:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(2)>a:nth-of-type(8),Sedazione cosciente,raw/published/html/6a97db25519800ebff25b9f2.html,/prestazioni/sedazione-cosciente
extracted,contact-or-sedation-link,/condizioni-di-utilizzo,it,dom:body:nth-of-type(1)>footer:nth-of-type(1)>section:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(8)>address:nth-of-type(1)>a:nth-of-type(1),Numero verde: 800 174 206,raw/published/html/6a97db25519800ebff25b9f2.html,tel:800174206
extracted,contact-or-sedation-link,/condizioni-di-utilizzo,it,dom:body:nth-of-type(1)>footer:nth-of-type(1)>section:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(8)>address:nth-of-type(1)>a:nth-of-type(2),Tel. +385 51 688 380,raw/published/html/6a97db25519800ebff25b9f2.html,tel:+38551688380
extracted,contact-or-sedation-link,/condizioni-di-utilizzo,it,dom:body:nth-of-type(1)>footer:nth-of-type(1)>section:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(8)>address:nth-of-type(1)>a:nth-of-type(3),it@dentvitalis.com,raw/published/html/6a97db25519800ebff25b9f2.html,mailto:it@dentvitalis.com
extracted,contact-or-sedation-link,/condizioni-di-utilizzo,it,dom:body:nth-of-type(1)>div:nth-of-type(5)>div:nth-of-type(1)>a:nth-of-type(1),Avvia chat su WhatsApp,raw/published/html/6a97db25519800ebff25b9f2.html,https://api.whatsapp.com/send?phone=+ADDNUMBERHERE
extracted,contact,/informativa-sulla-privacy,it,dom:body:nth-of-type(1)>footer:nth-of-type(1)>section:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(8)>address:nth-of-type(1)>a:nth-of-type(1),Numero verde: 800 174 206,raw/published/html/6a97db259aad9ee4bb4bd328.html,
extracted,contact,/informativa-sulla-privacy,it,dom:body:nth-of-type(1)>div:nth-of-type(5)>div:nth-of-type(1)>a:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1),Avvia chat su WhatsApp,raw/published/html/6a97db259aad9ee4bb4bd328.html,
