status,kind,url,descriptor,page,node,local_file,reason,selector,asset_id
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-500.webp,"[""500w""]",/condizioni-di-utilizzo,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-800.webp,"[""800w""]",/condizioni-di-utilizzo,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-1080.webp,"[""1080w""]",/condizioni-di-utilizzo,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-1600.webp,"[""1600w""]",/condizioni-di-utilizzo,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-2000.webp,"[""2000w""]",/condizioni-di-utilizzo,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita.webp,"[""2600w""]",/condizioni-di-utilizzo,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),assets/masters/6a86e9828da1e0b605be4d29/6a86e9828da1e0b605be4d29_Prima-visita-gratuita.webp,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-500.webp,"[""500w""]",/informativa-sulla-privacy,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-800.webp,"[""800w""]",/informativa-sulla-privacy,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-1080.webp,"[""1080w""]",/informativa-sulla-privacy,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-1600.webp,"[""1600w""]",/informativa-sulla-privacy,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-2000.webp,"[""2000w""]",/informativa-sulla-privacy,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita.webp,"[""2600w""]",/informativa-sulla-privacy,dom:body:nth-of-type(1)>div:nth-of-type(3)>div:nth-of-type(1)>img:nth-of-type(1),assets/masters/6a86e9828da1e0b605be4d29/6a86e9828da1e0b605be4d29_Prima-visita-gratuita.webp,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-500.webp,"[""500w""]",/informazioni-per-pazienti,dom:body:nth-of-type(1)>section:nth-of-type(1)>div:nth-of-type(2)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-800.webp,"[""800w""]",/informazioni-per-pazienti,dom:body:nth-of-type(1)>section:nth-of-type(1)>div:nth-of-type(2)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
extracted,responsive-image,https://cdn.prod.website-files.com/695e1eeeb10c5fb8eeaba87d/6a86e9828da1e0b605be4d29_Prima-visita-gratuita-p-1080.webp,"[""1080w""]",/informazioni-per-pazienti,dom:body:nth-of-type(1)>section:nth-of-type(1)>div:nth-of-type(2)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>div:nth-of-type(1)>img:nth-of-type(1),,"Responsive source URL retained; master source downloaded, this derivative not separately downloaded.",,
