mechanism,interaction_id,role,page,locale,node,classes,native_context,source,status,selector
IX2,e-15,trigger,/condizioni-di-utilizzo,it,wf:82b2ce1d-fc74-8408-a46c-893c2f6ef846,"[""nav-dropdown"", ""w-dropdown""]","[{""scopeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""nativeNodeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef846"", ""styleNames"": [""Nav Dropdown""], ""type"": ""DropdownWrapper"", ""source"": ""raw/mcp/component-trees-0.json""}]",raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js,derived,
IX2,e-15,trigger,/condizioni-di-utilizzo,it,wf:31ceb2a2-0ab3-5832-6e6c-056646482e59,"[""nav-dropdown"", ""w-dropdown""]","[{""scopeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""nativeNodeId"": ""31ceb2a2-0ab3-5832-6e6c-056646482e59"", ""styleNames"": [""Nav Dropdown""], ""type"": ""DropdownWrapper"", ""source"": ""raw/mcp/component-trees-0.json""}]",raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js,derived,
IX2,e-15,trigger,/condizioni-di-utilizzo,it,wf:4c3fd33f-e263-1f21-639c-f87aaf2ae9c6,"[""nav-dropdown"", ""w-dropdown""]","[{""scopeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""nativeNodeId"": ""4c3fd33f-e263-1f21-639c-f87aaf2ae9c6"", ""styleNames"": [""Nav Dropdown""], ""type"": ""DropdownWrapper"", ""source"": ""raw/mcp/component-trees-0.json""}]",raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js,derived,
IX2,e-15,trigger,/informativa-sulla-privacy,it,wf:82b2ce1d-fc74-8408-a46c-893c2f6ef846,"[""nav-dropdown"", ""w-dropdown""]","[{""scopeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""nativeNodeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef846"", ""styleNames"": [""Nav Dropdown""], ""type"": ""DropdownWrapper"", ""source"": ""raw/mcp/component-trees-0.json""}]",raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js,derived,
IX2,e-15,trigger,/informativa-sulla-privacy,it,wf:31ceb2a2-0ab3-5832-6e6c-056646482e59,"[""nav-dropdown"", ""w-dropdown""]","[{""scopeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""nativeNodeId"": ""31ceb2a2-0ab3-5832-6e6c-056646482e59"", ""styleNames"": [""Nav Dropdown""], ""type"": ""DropdownWrapper"", ""source"": ""raw/mcp/component-trees-0.json""}]",raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js,derived,
IX2,e-15,trigger,/informativa-sulla-privacy,it,wf:4c3fd33f-e263-1f21-639c-f87aaf2ae9c6,"[""nav-dropdown"", ""w-dropdown""]","[{""scopeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""nativeNodeId"": ""4c3fd33f-e263-1f21-639c-f87aaf2ae9c6"", ""styleNames"": [""Nav Dropdown""], ""type"": ""DropdownWrapper"", ""source"": ""raw/mcp/component-trees-0.json""}]",raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js,derived,
IX2,e-15,trigger,/informazioni-per-pazienti,it,wf:82b2ce1d-fc74-8408-a46c-893c2f6ef846,"[""nav-dropdown"", ""w-dropdown""]","[{""scopeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""nativeNodeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef846"", ""styleNames"": [""Nav Dropdown""], ""type"": ""DropdownWrapper"", ""source"": ""raw/mcp/component-trees-0.json""}]",raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js,derived,
IX2,e-15,trigger,/informazioni-per-pazienti,it,wf:31ceb2a2-0ab3-5832-6e6c-056646482e59,"[""nav-dropdown"", ""w-dropdown""]","[{""scopeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""nativeNodeId"": ""31ceb2a2-0ab3-5832-6e6c-056646482e59"", ""styleNames"": [""Nav Dropdown""], ""type"": ""DropdownWrapper"", ""source"": ""raw/mcp/component-trees-0.json""}]",raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js,derived,
IX2,e-15,trigger,/informazioni-per-pazienti,it,wf:4c3fd33f-e263-1f21-639c-f87aaf2ae9c6,"[""nav-dropdown"", ""w-dropdown""]","[{""scopeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""nativeNodeId"": ""4c3fd33f-e263-1f21-639c-f87aaf2ae9c6"", ""styleNames"": [""Nav Dropdown""], ""type"": ""DropdownWrapper"", ""source"": ""raw/mcp/component-trees-0.json""}]",raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js,derived,
IX2,e-15,trigger,/chi-siamo,it,wf:82b2ce1d-fc74-8408-a46c-893c2f6ef846,"[""nav-dropdown"", ""w-dropdown""]","[{""scopeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""nativeNodeId"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef846"", ""styleNames"": [""Nav Dropdown""], ""type"": ""DropdownWrapper"", ""source"": ""raw/mcp/component-trees-0.json""}]",raw/published/resources/03c1fa8b77cf-dentvitalis33.schunk.6ecbf8a934abc739.js,derived,
