literal_occurrences,exact_native_value_match,match_note,source,rule_id,selector,property,value,important,conditions,page_candidates,native_style,component_candidates,status,candidate_mapping_status
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-10.css,css-bc1fb2c63f08,".detaljna-tekst .sadrzaji-usluge,
  .detaljna-tekst .sadrzaji-usluge .prednost",opacity,1,True,"[""screen and (max-width: 767px)""]","[""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/corone-faccette-ponti-e-protesi""]",[],[],extracted,derived
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-2e46c544170c,"#dv-inquiry-modal .home-2-form-block,
#dv-inquiry-modal .home-2-form-block .w-form,
#dv-inquiry-modal .home-2-form-block form",opacity,1,True,[],[],[],[],extracted,derived
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-68fe092228f4,#dv-inquiry-modal .home-2-form-wrapper,opacity,1,True,[],[],[],[],extracted,derived
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-0ce3b420eae8,#dv-inquiry-modal .tm-40-button-wrapper,opacity,1,True,[],[],[],[],extracted,derived
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-9ef92569dcbe,#dv-inquiry-modal .gumb-vise,opacity,1,True,[],[],[],[],extracted,derived
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-c007888a8b47,.home-2-form-block .dv-native-form .home-2-form-wrapper,opacity,1,True,[],[],[],[],extracted,derived
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-3614da27fb78,.home-2-form-block .dv-native-form .tm-40-button-wrapper,opacity,1,True,[],[],[],[],extracted,derived
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-33.css,css-031839d2d487,".dv-native-form .home-2-form-text-field::placeholder,.dv-native-form .textarea::placeholder",opacity,1,False,[],[],[],[],extracted,derived
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-19e8f279adb9,.w-webflow-badge,opacity,1,True,[],[],[],[],extracted,derived
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-31ed7d388722,.w-webflow-badge > img,opacity,1,True,[],[],[],[],extracted,derived
13,,Exact original expression match only; no approximate color or unit equivalence asserted.,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-d6883486d941,.w-lightbox-control:hover,opacity,1,False,"[""(min-width: 768px)""]",[],[],[],extracted,derived
