variable_id,variable_name,css_name,source,rule_id,selector,property,value,important,conditions,page_candidates,native_style,component_candidates,status,candidate_mapping_status,native_style_id
variable-636803fe-8821-1ae5-1950-9634a6a61fbc,svijetla-call,--svijetla-call,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-18.css,css-6721781d9b12,html body .home-2-form-section .dv-native-form .gumb-vise,background-color,var(--svijetla-call),True,[],[],[],[],extracted,derived,
variable-636803fe-8821-1ae5-1950-9634a6a61fbc,svijetla-call,--svijetla-call,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-18.css,css-3675a1b0a064,"html body .home-2-form-section .dv-native-form .gumb-vise:hover,
html body .home-2-form-section .dv-native-form .gumb-vise:focus-visible",background-color,"color-mix(in srgb, var(--svijetla-call) 92%, var(--crna))",True,[],[],[],[],extracted,derived,
variable-7871740f-ec68-7438-41c4-7e0c36e94c3b,Crna,--crna,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-18.css,css-3675a1b0a064,"html body .home-2-form-section .dv-native-form .gumb-vise:hover,
html body .home-2-form-section .dv-native-form .gumb-vise:focus-visible",background-color,"color-mix(in srgb, var(--svijetla-call) 92%, var(--crna))",True,[],[],[],[],extracted,derived,
variable-1409a02f-5e45-fc0b-413b-160f609caa56,tamana-call,--tamana-call,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-18.css,css-a7c1848a051a,html body #dv-inquiry-modal .dv-native-form .gumb-vise,background-color,var(--tamana-call),True,[],[],[],[],extracted,derived,
variable-4a7968e2-7904-2751-1793-11f0211814b6,Svjetlija plava,--svjetlija-plava,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-18.css,css-8aaafd8257b8,"html body #dv-inquiry-modal .dv-native-form .gumb-vise:hover,
html body #dv-inquiry-modal .dv-native-form .gumb-vise:focus-visible",background-color,var(--svjetlija-plava),True,[],[],[],[],extracted,derived,
variable-636803fe-8821-1ae5-1950-9634a6a61fbc,svijetla-call,--svijetla-call,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-23.css,css-caef5588bf10,section.section-contatti .home-2-form-section .home-2-form .dv-native-form .gumb-vise,background-color,var(--svijetla-call),True,[],[],[],[],extracted,derived,
variable-4a7968e2-7904-2751-1793-11f0211814b6,Svjetlija plava,--svjetlija-plava,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-23.css,css-d77d57367d61,"section.section-contatti .home-2-form-section .home-2-form .dv-native-form .gumb-vise:hover,
section.section-contatti .home-2-form-section .home-2-form .dv-native-form .gumb-vise:focus-visible",background-color,var(--svjetlija-plava),True,[],[],[],[],extracted,derived,
variable-1409a02f-5e45-fc0b-413b-160f609caa56,tamana-call,--tamana-call,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-9ef92569dcbe,#dv-inquiry-modal .gumb-vise,background,var(--tamana-call),True,[],[],[],[],extracted,derived,
variable-4a7968e2-7904-2751-1793-11f0211814b6,Svjetlija plava,--svjetlija-plava,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-28.css,css-3a0ec808e86f,"#dv-inquiry-modal .gumb-vise:hover,
#dv-inquiry-modal .gumb-vise:focus-visible",background,var(--svjetlija-plava),True,[],[],[],[],extracted,derived,
variable-636803fe-8821-1ae5-1950-9634a6a61fbc,svijetla-call,--svijetla-call,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-9.css,css-6b8a49433f1f,"html body section.section-contatti .home-2-form-section .home-2-form .dv-native-form .gumb-vise:hover,
html body section.section-contatti .home-2-form-section .home-2-form .dv-native-form .gumb-vise:focus-visible",background-color,"color-mix(in srgb, var(--svijetla-call) 92%, var(--crna))",True,[],[],[],[],extracted,derived,
variable-7871740f-ec68-7438-41c4-7e0c36e94c3b,Crna,--crna,raw/published/inline/695e1eeeb10c5fb8eeaba87c-style-9.css,css-6b8a49433f1f,"html body section.section-contatti .home-2-form-section .home-2-form .dv-native-form .gumb-vise:hover,
html body section.section-contatti .home-2-form-section .home-2-form .dv-native-form .gumb-vise:focus-visible",background-color,"color-mix(in srgb, var(--svijetla-call) 92%, var(--crna))",True,[],[],[],[],extracted,derived,
variable-1409a02f-5e45-fc0b-413b-160f609caa56,tamana-call,--tamana-call,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-24dcc965e1d0,.banner-section,background-color,var(--tamana-call),False,[],"[""/""]","[{""id"": ""e6e85a02-c3d6-08eb-5df3-a2c1c099f1e9"", ""name"": ""Banner Section"", ""isComboClass"": false}]",[],extracted,derived,
variable-096e3c41-aba9-e979-277d-482de4374333,Transparent,--transparent,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-cba0df026e30,.banner-section.hero,background-color,var(--transparent),False,[],"[""/""]","[{""id"": ""502e717e-6870-a4bc-00aa-0f9441d13e7c"", ""name"": ""hero"", ""isComboClass"": true}]",[],extracted,derived,
variable-7871740f-ec68-7438-41c4-7e0c36e94c3b,Crna,--crna,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-fca2a8fd5843,.nav-dropdown-link,color,var(--crna),False,[],"[""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/testimonianze"", ""/contatti"", ""/faq"", ""/domande-e-risposte"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/""]","[{""id"": ""e6e85a02-c3d6-08eb-5df3-a2c1c099f1ef"", ""name"": ""Nav Dropdown Link"", ""isComboClass"": false}]","[{""id"": ""82b2ce1d-fc74-8408-a46c-893c2f6ef824"", ""name"": ""navigacija""}]",extracted,derived,
variable-1409a02f-5e45-fc0b-413b-160f609caa56,tamana-call,--tamana-call,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-9e0cf6a0fbd1,.nav-dropdown-link:hover,color,var(--tamana-call),False,[],"[""/condizioni-di-utilizzo"", ""/informativa-sulla-privacy"", ""/informazioni-per-pazienti"", ""/chi-siamo"", ""/prestazioni-dentali"", ""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/testimonianze"", ""/contatti"", ""/faq"", ""/domande-e-risposte"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti"", ""/""]",[],[],extracted,derived,
variable-1409a02f-5e45-fc0b-413b-160f609caa56,tamana-call,--tamana-call,raw/published/resources/2ae2f8951fc8-dentvitalis33.shared.f8a4284a1.css,css-1daadb22de65,.nav-dropdown-link.w--current,color,var(--tamana-call),False,[],"[""/informazioni/trasporto"", ""/informazioni/alloggio"", ""/informazioni/listino-prezzi"", ""/informazioni/garanzie"", ""/informazioni/pagamento-flessibile"", ""/informazioni/tempi-del-trattamento"", ""/informazioni/prima-visita-gratuita"", ""/prestazioni/sedazione-cosciente"", ""/su-di-noi/impianti-di-nuova-generazione"", ""/su-di-noi/materiali-e-apparecchiature"", ""/su-di-noi/laboratorio-odontotecnico"", ""/su-di-noi/come-raggiungerci"", ""/su-di-noi/tutto-in-un-unico-luogo"", ""/su-di-noi/i-nostri-specialisti"", ""/prestazioni/corone-faccette-ponti-e-protesi"", ""/prestazioni/sbiancamento-dei-denti"", ""/prestazioni/premium-ponte-fisso-su-impianti"", ""/prestazioni/protesi-definitiva-ancorata-su-4-impianti""]",[],[],extracted,derived,
